stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,3,1,0,7,1,0,0,0,0,2,0,0,0,0,1,3,12,0,0,2,97,0,2,0,0,0,0,0,0
72hpf,0,0,0,1.41,0,0.28,0,0,0,0,0,0.56,0,1.13,1.69,0,3.1,0,0.28,4.79,8.17,0,0.85,0,0,0,0,0,0
21Day,1.48,0.37,0,2.96,0,6.66,3.7,0,0,0,0,1.85,0,0,0.37,0.74,1.85,0,0.37,0.74,2.59,0,0.37,0.74,0,0,0.37,0,0
3Month,0,0.1,0.1,0.52,0,0,0.1,0.1,0.31,0,2.5,0,0.62,0,0.21,0.1,0.21,0,0.1,0,0.1,0.1,0,0.21,0.1,0.62,0,0.1,0.1
22Month,0,0,0,0.14,0,0,0,0.14,0,0,0.68,0.14,1.5,0,0,0,0.41,0.14,0,0,0,0,0,0.14,0,1.09,0,0,0
