stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0.28,0,0,1.13,0,0,10.99,2.54,0,1.41,0,0.28,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,1.11,0,0,1.48,1.11,0,0,0,0,0,0
3Month,0,0,0.94,0,0,0,0.42,0.1,0.21,0,0.1,0.1,0.1,0.21,0,0.1,0,0.83,0,3.02,0.21
22Month,0,0.14,0.27,0,0.14,0.82,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
