stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0.28,0,0,0.28,0.56,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0.74,0.74,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0.74,0.37,0,0,0,0,0
3Month,0,0.21,0.21,1.66,0,0.1,0,0.42,0,1.56,0.42,0.1,0,0.31,0.42,0.94,0.1,0.1,0.1,0,0.1,0.1,1.35,0,0.1,0.31,0.21,0.83
22Month,0,0.14,0.27,0.68,0,0,0.14,1.91,0.27,6.29,0.68,0.55,0.68,0.14,0.96,1.09,0,0.14,0,0,0,0.14,0,0.27,0,0,0,0.68
