stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0,0,5.36,0.28,1.41,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.74,0.37,0,0,0,0.37,0,0,0,0.74,0,0.37,0,0,11.47,1.11,0,0,0,0,0,0,0,0,0,0
3Month,0.73,0.31,26.94,0,0.21,1.25,1.56,5.41,2.18,1.98,1.14,1.04,0.62,1.14,0.42,0,135.74,0.21,0.21,0.21,0.1,0.21,1.46,7.59,0.1,0.42,5.1,1.56
22Month,0.14,0,6.29,0,0,0.68,0.68,2.6,0.27,0.41,0,0.14,0.27,0.41,0,0.14,9.84,0,0,0.41,0,0,0,0.68,0.14,0,0,0.14
