stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
72hpf,51.3,0,0,0,0.28,1.69,0,0.28,0,0,0,0,0,0,0.28,2.25,0.28,1.97,0,0.28,0,0,32.13,4.23,0,2.25,0,0,0.56,0,0,0,0
21Day,58.09,0.37,0.37,2.22,0,1.48,0,0.37,0,0,0,0,0,0,0.37,1.85,0.37,4.44,0,0,0.74,0,14.43,2.59,0,0.74,1.85,0,0,0.74,0.37,0,0.37
3Month,1.35,0.1,0,1.04,0,0,0.21,0.1,0.21,0.42,0,0.83,0.1,0.31,0,0.21,0.31,14.15,4.47,0,3.43,0.21,0,0,0,0,0,0.52,0,0,0,0.31,0.31
22Month,0.41,0.14,0,0.41,0,0,0,0,0,0.68,0.27,3.96,0.55,0.68,0,0,0.14,7.79,0.14,0,0.68,0,0.27,0,0.14,0,0,0.14,0.14,0,0,0,0.14
