stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.56,1.97,0.56,1.97,0,0,0,0,0,0,0,0.56,2.25,0,1.69,0,0,156.99,4.79,1.13,3.66,3.1,0,0,0.56,0,0,1.13,0
21Day,1.11,0,4.44,0.74,2.22,0,0,0,0,0,0,0,0.37,8.14,0.37,3.33,0,0,41.81,1.48,1.11,0.74,0.74,1.48,0,0,0.37,0.74,0,0.37
3Month,0.1,0,1.04,0,0,0.1,0,0,0.62,0.21,0,0.21,0,0.31,0,0.83,0.42,0,0.21,0,0.42,0,0.31,0,0.31,0,0,0,0.1,0
22Month,0.14,0,0.55,0,0,0,0.27,0.14,2.19,0.27,0.14,0.27,0.14,0.14,0.27,0.55,0.27,0.27,0.68,0.14,0.27,0.14,0.14,0,1.09,0,0,0,0.14,0
