stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0
21Day,0.74,0,0,0,0,7.77,0.37,0.37,0.74,1.11,1.11,0,1.11,1.11,0.74,0,10.36
3Month,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0.82,0.27,0,0.27,0,0,0,0,0.27,0.14,0,0,0,0
