stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,2.59,0.37,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0.1,1.46,1.04,0.62,3.33,0,0.62,0.21,0.21,16.23,0.31,0.1,0.31,0,0,0,0.1,0.42,0.1,0.52,0.1
22Month,0,0.55,1.64,2.87,0.82,0.27,0.27,0.14,0.14,10.8,0.14,0,0.14,0,0,0.14,0,0,0,0,0.14
