stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,2,1,0,0,0,0,0,0,0,1,0,1,22,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0.28,0,0,0.28,0,4.51,3.66,0,0.28,0.28,0,0
21Day,0,1.11,0,0.37,0,0.37,0,0,0.37,0.74,1.11,0,0.74,3.33,0,0.37,0,0,0
3Month,0.1,0,0,0,1.14,0.1,0.21,0.1,0.21,0.1,0.1,0.21,0,0.1,0.1,2.81,0,5.62,0.21
22Month,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0
