stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,1,4,0,0,0,36,2,0,0,1,0,0
72hpf,0,0,1.41,0,0,0,0,0,0,0.56,0,1.69,0,0,1.97,5.64,0.85,0,0.28,0.28,0,0
21Day,1.48,0,0.74,4.07,0.74,0,0,0.37,1.48,0,0.37,0.74,0,0.37,0.74,5.18,0,0.37,0.37,0,0,0
3Month,0,0,0,0,0,0.1,0,0.21,0,0,0,0,0,0.21,0,0,0,0.31,0,0,0.42,0.21
22Month,0,0,0.14,0,0,0,0.27,0.41,0,0,0,0,0.14,0.14,0,0,0,0.41,0,0,0,0
