stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,3.66,8.17,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0.74,4.07,0,0,0.74,0,0,0,0
3Month,0,0.73,0,0.1,0,0.31,0.1,0.21,0,0.1,0.42,0.1,0.1,0,0.21,0,1.77,0,0.21,0.1,2.29,0.1
22Month,0,0,0.14,0.14,0,1.09,0.14,0.14,0,0.14,0,0.27,0,0,0.27,0.68,0.41,0,0,0,0,0
