stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,15,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,2.54,0,0,0,27.06,9.3,0.28,1.69,0,0,0,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0.74,0,1.85,0,0,0,7.03,2.59,0,1.48,0.74,0,0,0,0,0
3Month,0,0.1,1.04,0.1,0,0.21,0.31,0,3.33,0.52,0.1,0.31,0.21,0.21,0.31,0.94,0.42,0,0,0.52,0.1,0.31,0.1,0.1,3.54,0.1,0.21,1.87,1.66
22Month,0.14,0,0.96,0,0,0.14,0.68,0.27,12.85,0,0.14,0.55,0,0.14,1.23,0.96,0.14,0.14,0.14,0.14,0.14,0.27,0,0,1.09,0,0.27,0,0.27
