stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,1.85,0.37,0,0.37,0.37,0.37,0,0,0,11.47,0.37,0.37,1.11,0.74,0,0,0.37,1.11,0.74,0.37,0,0.37,0,0,0.37,0,0,0.37
3Month,0,0.1,1.04,2.18,0,0.1,0.1,5.1,1.25,2.5,0.73,0.1,94.66,0.1,0.42,5.62,0.83,0,1.25,1.35,0.31,0,0.42,0.1,0.52,0.21,0.1,0,0.1,0.42,0.62
22Month,0,0,0.82,1.23,0,0.14,0,1.64,0.68,4.24,0,0,54.8,0,0,4.51,0.14,0.14,1.09,0,0,0,0.41,0,0.14,0.14,0,0,0,0,0.14
