stage,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,1,1,4
72hpf,0.28,0,0,0,0,0.28,0.56,0.56,0.28
21Day,0,0.37,0,0,0.37,0,1.11,0,0
22Month,0,0,0.27,0.14,0,0,0,0,0
