stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,0,0,0.56,1.69,0,0,0,0,0,0,0,0
21Day,0,2.96,0,0,0,0,0,0,0,0,2.59,0,1.11,0,0,0.74,1.11,0.37,0,0,0,0,0,0,0,0
3Month,0,4.37,0,0.1,0.21,1.56,0.21,0.1,0.52,0.21,0.52,0.52,0.52,0.21,0,0,0.31,0.1,0.1,0.1,0.1,3.43,0.1,0.1,11.75,0.31
22Month,0,0.68,0.14,0.14,0.14,1.09,0,0,0.41,0,0.14,0,0.27,0,0.14,0,0,0,0,0.14,0,1.64,0,0,0,0
