stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,0,4,0,0,0,0,0,0,0,0,1,2,2,15,0,0,0,0,6,54,0,0,2,0,0,0,0,0,1,0,0
72hpf,1.41,0,0,1.13,0,0,0,0,0,0,0,0,1.13,1.41,0,1.41,0,0.28,0,0.56,24.8,7.89,0,0,0.85,0,0,0.28,0.28,0.56,0.85,0,0
21Day,0.37,0,0.37,4.81,0.74,1.11,0,0.37,0.74,0,0,0.74,0,1.48,0,1.85,0,0,0,0.37,10.73,4.44,0.37,0,0.74,0,0,1.85,0,0,0.74,0,0
3Month,0.1,0.1,0.31,5.3,0,0,0.21,2.39,0.94,0.62,0,1.77,0.31,0.83,1.04,0.83,0.31,0,0,0.21,0.83,0,0.94,0,0,0,1.35,0.1,0,0,0,0.31,0.31
22Month,0.14,0,0.14,0.27,0,0,0,1.37,0.82,0.96,0.14,1.09,0,0,1.23,0.41,0,0.14,0.14,0,0.14,0,0.27,1.23,0,0.14,0.27,0,0,0,0,0,0.14
