stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0,0.85,0,0.28,0,0.85,35.79,3.38,0.28,0.28,0,0,1.69,0,0,0,0,0
21Day,0.74,0,0.37,1.85,0,2.22,0,0.74,0,0,3.33,0,0.74,4.07,0,2.96,0.74,4.44,0,0.37,0.37,0.74,79.92,4.07,0.37,2.22,2.59,0.37,14.06,1.11,2.22,1.48,0,0.37
3Month,0,0,0.1,2.91,0.1,0,0,0.1,0.1,0.42,0.73,0.21,0,0.83,0,0.21,0.21,1.35,0.1,0,0,1.46,1.14,0.1,0.21,0,0,1.46,1.56,0,0,0,0.1,0
22Month,0,0.14,0,2.19,0,0,0.14,0,0.14,0.14,7.11,0.14,0,0.82,0,0.14,0.41,2.87,0,0.14,0,0,3.55,0.14,0,0,0.14,3.01,7.93,0.14,0,0.14,0,0
