stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0.28,1.13,0,0,0,0,0,0,0,0,0.28,1.13,0,0.28,0,0.28,0.28,51.01,3.66,0,0,1.41,0,0,0.28,0.56,0.28,0,0.28,0,0,0
21Day,2.96,0.37,0,2.22,3.33,0,0,0.37,0,0,0,0.74,0.74,0,1.85,0.37,4.81,0,1.48,0,75.48,2.59,0,0.37,2.22,2.59,0,0.37,1.85,2.22,1.85,0,0,0,1.11
3Month,0,0,0.1,0.83,0,0,0.1,0,0,0.83,0.42,0,0.62,0.21,0.52,0.21,0.83,0,0.21,0.1,2.81,0.1,0.31,0,0.1,0.21,0.1,9.57,0.21,0,0,0.31,0.1,1.56,0.31
22Month,0,0.14,0,0.27,0,0.27,0,0.96,0.27,8.61,0.27,0,0.82,0,0,0.41,0.68,0.14,1.09,0,5.74,0.14,0,0,0,0,0,6.83,1.64,0.27,0,0,0,0,0.27
