stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,85,7,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,21,0,0,0,2,176,0,0,2,0,0,0,0,0,1,0,0
72hpf,41.15,2.54,0,1.41,1.69,1.41,0,0,0,0,0,0,0,0,0.28,1.41,0.28,16.91,0,0.28,0,57.5,32.41,0,0.28,12.68,0.28,0,11.56,0,0,1.41,0,0
21Day,94.35,1.85,0,6.66,1.48,2.96,0,0,0,0,0.37,0,4.07,0,1.11,3.7,1.48,44.03,0,0,1.48,45.51,11.84,0.74,3.33,10.73,3.33,1.11,10.73,0.37,1.48,5.92,0,1.48
3Month,0.21,0.73,0,1.46,0,0,0.1,1.04,0.1,0,2.81,0.42,0.1,0.31,0.31,0.31,0.31,8.63,0.62,0,0.21,0.73,0.21,0.42,1.46,0.1,0,3.33,0.21,0,0,0.31,10.51,0.83
22Month,0,0.96,0.14,0.41,0.14,0,0.14,0.55,0.55,0,7.52,0.27,0.14,1.09,0,0.27,0.27,3.42,0,0,0.14,0.55,0.14,1.64,0.96,0.14,0,0.68,2.19,0.14,0,0.14,0,0
