stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0.85,0,1.41,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,2.22,0,0,0,2.22,0,0,0,0,0,0.37,0.37,0.37,0,0,0,2.59
3Month,0.21,0.1,1.35,0,0.21,0,0.62,0,0.62,0.73,0.42,0.31,0.52,0.1,3.02,0.94,0.1,0.21,0,0,0.1,0,0.1,0.1,0.1,0.42,12.38
22Month,0.14,0.14,1.09,0,0,0.14,0.68,0.14,10.66,0.27,0.41,0.82,0,0,3.69,0.96,0,0,0.14,0,0.14,0,0.14,0,0,0,2.46
