stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,9,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0,0.28,0,0,0,0,0,0,0,0,0,1.13,0.56,0.28,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,2.96,0,0,0,0,0.37,0,0,0,0,2.22,0,0,2.22,0.37,1.48,0,0,0,0,0.37,0,0,0,1.48,0,0,0.74,0.37,0,0,1.85
3Month,0.1,0.52,0.42,23.09,0.21,0.42,0.1,7.8,4.16,0,0,6.55,13.31,0.62,10.09,0.52,12.38,6.03,3.22,0.73,0,4.58,0.21,0.21,0.1,0.62,0.52,0.31,0.52,4.26,0.52,0,1.66,1.14,12.27
22Month,0,0.96,0.27,4.51,0,0,0.41,3.28,7.38,0.41,0,10.11,6.56,1.78,3.83,0,1.78,6.29,3.01,0.14,0.14,2.05,0,0.14,0,0.14,0.55,0,0,0.14,0.41,0,0.14,0,4.92
