stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.38,1.41,0,11.56,5.92,1.97,0.28,0,0,0,0.28,0,0,0,2.25,15.22,0,17.19,0,0.56,1.69,0.28,521.7,33.82,0,0.56,11.27,0,1.13,1.13,0.56,0.56,4.79,0,0,0
21Day,5.18,5.92,0.37,27.01,5.55,11.47,1.85,0,0,0,1.85,0,1.85,4.44,3.7,15.54,2.59,25.53,0,0,5.18,0,413.65,16.65,1.48,1.85,9.99,11.1,3.33,4.44,4.81,9.99,1.11,0,0,2.22
3Month,0,0.31,0.1,2.39,0,0,0,0.31,0.42,0,3.33,0.62,0,0.73,3.54,1.14,0.31,1.25,0.42,0,0.31,0.1,3.43,0.21,0.21,0,0.1,0.52,13.11,0.1,0,0.1,0,0,5.41,0.1
22Month,0.27,0.14,0,1.37,0.27,0,0,0,0.41,0,7.11,0,0,0.68,1.64,0.41,0.27,0.96,0.14,0.14,0.14,0,6.56,0.14,0.41,0.27,0,0,3.01,0.68,0,0,0.14,0.27,0,0.27
