stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0.37,0.37,2.59,0.37,1.48,0.37,0,0,0,0,4.44,1.11,0.74,1.48,4.07,4.44,0.37,0,6.66,0.37,0,0.74,0.74,1.48,0,0.37,0,0,54.76
3Month,0.1,0,0,0.94,0,0,0,0.21,0.62,1.66,0.73,0.1,0.31,0.1,0.21,1.77,0.94,0,0.1,0,0,0.1,0,0,0.21,0.31,0,0.42,0.21,26.63
22Month,0,0,0,0,0,0,0,0,0.41,0.96,0,0.14,0.14,0,0.14,1.23,0,0,0,0.14,0,0,0,0,0,0,0,0,0,7.24
