stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,1.41,0,0,0,0,0,0.28,0.56,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0,0.74,0,0,0.37
3Month,0.1,0.21,0.83,0.1,0.1,0.42,1.87,0.31,0.62,0.1,0.42,1.04,0.42,0.1,0.42,0.21,0,0,0.1,0,0.21,0.1,41.81,0,33.29,0.62
22Month,0,0,0,0,0,0.14,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,4.92,0,0.14,0
