stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,1,0,5,0,0,0,0,57,20,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0.28,0,0,0,0,0,0,0,0,1.13,1.41,0.56,0,0.56,0,0,0,0,2.54,1.41,0,0,1.41,0,0,0,0,0,0.85,0,0,0
21Day,0,2.22,2.96,0.74,0,0,0,0.37,0,0,0.74,0,0.37,3.33,0,0.74,0,1.48,0,0,0,0,0.37,1.11,0,0,1.11,0.37,0.37,0,0,1.48,0,0,0,0.37
3Month,0.62,24.76,17.47,0,0,0.42,0,12.07,1.87,0.1,8.53,2.7,0.31,247.77,0.94,1.98,1.87,3.12,1.14,0,0.42,0.62,0.42,0,5.1,0.1,0,2.5,17.27,0.1,0,0,0,1.04,2.29,2.29
22Month,0.41,7.65,6.83,0,0,0.41,0.27,14.07,1.37,0.41,13.66,0.41,0.14,113.97,0.14,0.14,1.37,0.96,0,0.41,0.41,0.14,0.27,0,2.6,0.14,0.27,0.14,3.83,0.14,0.41,0,0,0,0,0.14
