stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0.28,0.28,0,0,0,0,0.56,0.28,0,0,4.23,0,0,0,0,0
21Day,0.37,0.74,0,0,0,0,0.37,0,0,0.74,0,4.44,0.37,0.37,0.37,0,0
3Month,0,0,0,0.1,0.1,0.21,0,0,0,0,0.1,0,0,0,0,0.42,0.1
