stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,42,1,20,0,2,0,0,0,0,2,46,1,139,0,0,0,0,0,0,0
72hpf,2.54,0,13.25,0.56,0,0,0.28,0,0.56,0,2.25,3.95,3.66,0,0.85,0,0.28,0,0,0
21Day,0.37,0,1.85,0,0,0,0,0,0.74,0,0.37,0.74,0.37,0,0.37,0,0,0.37,0,0.37
3Month,0.62,0,0.52,0,0,0.62,0,0.21,0.1,0.1,0.42,0.1,0,0,0,0.1,0,0,0.21,0.1
22Month,0.27,0,0.14,0,0,0.27,0,0.14,0,0.14,0,0,0,0.27,0,0.82,0,0,0,0
