stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,0,0,0,0.74,0.37,0,0,0,0.37,0,0,0
3Month,0,0.1,1.77,0.1,0,0,0,0.21,0,0.94,0.52,3.95,0.1,2.6,0.21,0,0,0,0,0,0,0,0,0.21,0,0,0.1,0.42
22Month,0.14,0.14,10.11,0.55,0.14,0.14,1.91,0.27,0.27,6.7,0.55,38.67,0,2.19,1.23,0.14,0.14,0.27,0.14,0.14,2.32,0.14,0.14,0.55,0,2.32,0,0.68
