stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.56,0.28,0.28,0.28,0,0.56,23.68,0.85,0.28,0,0.56,0
21Day,0,0,0.74,0,1.48,0.37,4.44,0.74,0,0.37,2.96,2.96
