stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,1,1,2,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0
72hpf,0.56,0,0.28,0.28,0.85,0,0,1.97,0,2.25,0,18.32,85.68,0.56,1.13,0,17.76,0
21Day,0,0,1.11,0.37,0.74,0.37,0.37,0.37,0.37,0.37,0.37,3.7,24.42,0,0,1.48,4.81,0.74
