stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,37,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,1.41,0,0,0,0,0,0,0,0,0.56,0,2.54,0,0,20.29,14.94,0,0.28,0.56,0,0,0.85,0.56,0,0
21Day,0.37,0,1.48,4.07,0.37,0,0,0,0,0.74,0,0.37,0,0,1.85,0,0.37,6.29,4.07,0,0,0,0.74,0,0,0.37,0,0
3Month,0,0,1.04,0,0,0,0,1.46,0.21,0,0.52,0,0.31,0,0.42,0,0,0.31,0,0.1,0,0,0.1,0.31,0,0,0.1,0.21
22Month,0,0.14,0.14,0,0,0.14,0,1.5,0.14,0,0.27,0,0,0,0,0.14,0,0,0,0.14,0.14,0,0,0.41,0.14,0,0,0
