stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.85,1.13,0,0
21Day,0,0.37,0,0,0.37,0,0,0.37,0,0.37,0,0.37
3Month,0,0.52,0.1,0.21,1.04,0.21,0.21,0,0.21,0.1,0.21,0
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0
