stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,1.48,2.22,0,0,2.22,0,0,0,7.4,0,0.74,0.37,2.59,0.74,0,0,0,2.22,0.37,0,0,0.37,1.48,0,0.37,0,7.03
3Month,0.31,0,0.1,0.1,0.83,0,1.14,0.31,0.73,0.31,0.31,0.31,5.2,0.52,0.42,0,0.21,0,0,0.1,0.1,0.1,0.42,0.62,0,0.62,8.22
22Month,0.14,0,0,0,0,0.14,1.09,0.68,0.41,0,0.14,0.14,3.42,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,4.1
