stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,242,1,2,0,0,0,0,0,0,4,3,0,14,0,1,0,0,0,0,0,0,0
72hpf,67.08,0,0.28,1.13,0,0,0,0,0.28,0,0.85,1.13,0.56,0,0.56,0,0,0,0,0,0,0
21Day,135.79,0,0.74,2.22,0,0.37,1.11,0,0.74,0.37,0,1.11,0.37,0,0.74,1.11,0.74,0.37,0.74,0.37,0,0
3Month,0.52,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
22Month,0,0,0,0,0.14,0,1.91,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
