stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell,Spermatocyte,T_cell
21Day,0,0,0.37,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.1,0.1,0.73,0,1.25,0.31,3.12,3.02,0.1,0.62,0.31,0.31,0,0.1,0.21,0.1,0.1,0.1,0.83
22Month,0,0,0,0.14,0.14,0.14,0.55,0,0,0,0,0,0.14,0,0.14,0,0,0,0.14
