stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,2.25,1.41,0,0,0,5.07,0,0,0.85,0.28,0,0,0
21Day,0,0,0,0.74,0,0.37,0,0.37,0,0,0,0,0,0,0.74,0,17.76,0,0,1.48,0,4.07,2.59,0,0.74,0,4.81,0.74,0,0.74,0,0,0,0
3Month,0.21,1.14,0.1,1.77,0,0,0.1,0.1,0,3.33,0.31,0.1,0.21,0.31,2.5,0.52,5.72,0.62,0,0.31,0.1,0.1,0,0.31,0.1,0,0.1,0,0.42,0.1,0,0.31,0.1,0.21
22Month,0,2.46,0,0.27,0,0,0,0.14,0.55,9.84,0.55,0.14,1.23,0,0.41,0.14,1.91,0,0.14,0,0,0.27,0.14,0,0.14,0.14,0,0,0.27,0.14,0,0.14,0,0.27
