stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0.56,0
21Day,0.37,0.37,0.74,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0
3Month,0,0.1,2.08,1.98,0,0.62,0.21,8.63,0.1,0.1,0.73,0.1,1.35,0,0.1,0,0.1
22Month,0,1.23,0.55,1.09,0.14,0.27,0,3.69,0,0,0.14,0,0.14,0.27,0.14,0,0
