stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,4,20,0,0,0,0,2,33,0,0,5,0,0,0,1,0,0,0
72hpf,0.28,0.28,0,1.13,0.28,0,0,0,0,0,0,0,0,0.56,0.28,0.28,2.54,0,0.85,0,0.28,0.85,0.56,0.28,0,1.97,0.28,0,0.28,0.28,0,0,0
21Day,1.48,1.11,0.74,12.21,6.29,0,1.85,0,0,0.74,0,1.11,0,0.37,4.44,1.85,12.58,0,0,1.48,0,2.59,1.85,0.74,0,2.22,1.11,0,0.74,0.74,0,0,0.74
3Month,0,0,0,1.04,0,0.1,0,0.1,0.21,0.62,0.1,0,0.42,0,0.42,0.1,0.1,0.1,0,0.31,0,0,0,0,0,0,0.1,0.94,0,0,0.1,0.94,0
22Month,0.14,0.27,0,1.5,0,0,0.14,0.14,0.55,5.06,0.14,0,0.55,0,0,0.41,0.68,0,0.27,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0
