stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0.42,0.1,1.04,0.1,1.04,0.21,0.1,0.21,0.21,0,0,0.1,0.1,24.76,0.21,15.08,0.21
22Month,0,0,0,0.55,0,0.55,0,0,0.14,0,0,0,0,0,1.91,0,0.14,0
