stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,1.97,0,0,0,0,2.54,1.97,0,0,0.56,0,0,0,0.28,0,0,0,0
21Day,0.37,0,0,0.74,1.48,0,0.74,0,0,0,0,0,0,0,0,1.11,0.37,1.11,0,0,0.37,0,0.74,0.37,0,0,0.37,0.37,0,0.37,0.74,0.37,0,0,0.37
3Month,0,0.73,0,3.02,0,0.1,0,0.31,0.62,0,2.18,0.62,0.21,0.31,0.73,0.62,0.31,0.83,0.1,0,0.21,0.1,0,0.1,0.21,0.1,0,0.21,0.21,1.87,0.21,0,0.42,8.95,0.73
22Month,0,0.41,0.27,0.96,0,0.14,0,0,0.96,0.82,4.51,0.41,0.41,1.37,0,0.27,0.82,0.96,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0.14,0,0.27
