stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,0.28,0,0,0,0,0.28,0,0,0,0,0,2.82,0,1.13,0,0,0,0.56,0,0.56,0.28,0,0.28,0,0,0,0
21Day,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,2.59,0.74,1.48,0,0.74,0,0.37,0,0.37,0,0,0.37,0.37,0,0,0
3Month,0.21,0,5.1,0,0.1,0.21,0.1,0.1,1.56,1.25,1.04,0,0.31,0.21,3.33,1.35,1.56,0.21,0.42,0.1,0,0,0,0,0.21,0,0,0.31,0.1,0.31
22Month,0.27,0.14,1.5,0,0,0.14,0,0.27,2.46,1.64,0.41,0.14,0.41,0,0.14,1.5,0.68,0,0.27,0,0,0.14,0,0,0.55,0.14,0,0,0,0.41
