stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,1.13,0,0,0.28,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,0.1,2.91,0,0,5.72,0.83,2.29,0.73,0.42,0.1,0.73,0.52,0.31,0.42,0,0,0.1,0,0.21,0,5.93,0.1,0.31,0.62
22Month,0,0.14,0.14,0.14,0,0.14,1.09,0.27,3.83,0.27,0.55,0,0,0.27,0.27,0,0.14,0,0,0,0.27,0,0.82,0,0,0
