stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,74,1,0,229,1,1,0,0,0,0,1,0,0,0,0,1,1,4,5,0,0,0,0,11,77,0,0,2,0,0,0,7,0,0,0
72hpf,14.66,0,0,68.49,9.86,0.85,0,0,0,0,0,0,0,1.13,0,2.82,15.5,0.28,1.41,0,0,0,1.41,8.17,6.48,0,0,4.23,0,0,4.23,5.92,0,0,0
21Day,5.92,0,0,4.44,1.11,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0,0,0,0.74,0,0.37,1.11,0,0,1.48,0,0,1.11,0,0,0,1.11
3Month,0,0.1,0.1,1.87,0,0,0.1,0.1,2.91,0,0,7.8,2.5,0,1.14,0.31,0.42,0.62,0.31,0.31,0,0,0.1,0,0,0.21,0.1,0,0.31,1.35,0,0,0.31,12.48,0.42
22Month,0,0.14,0.27,0.55,0,0,0.27,0.14,14.07,0.27,0,10.8,0.96,0.14,0.82,0.14,0.27,3.42,0.68,0,0.27,0,0,0.14,0,0,0.14,0.14,0,0.96,0,0,0,0.14,0.14
