stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,2.54,0,0.56,0,0,0,16.91,1.41,0,0.28,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0.74,0.37,0,5.92,1.11,3.33,0,0,0,8.88,1.11,0,0,0.74,0,0,0.74,0,0,0
3Month,0,0,0.1,1.46,0,0,0.1,0,0.21,0,2.6,0.1,0.1,1.14,0,2.91,0.1,0.73,0.1,0,0.31,0.1,0,0.1,0,0,0,0.31,0,0.1,0.21,0.1
22Month,0.27,0,0.14,0,0,0,0.14,0.14,0.41,0,3.83,0.27,0.14,0.55,0,0.68,0.41,0.68,0.14,0.27,0,0,0,0,0,0,0.14,0.14,0,0,0,0
