stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,11,8,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.41,1.41,0,0,0,0,0,0,0,0,1.69,0.28,1.13,1.41,0,0,0,1.41,5.64,3.38,0,0,2.54,0,0,0.28,0.56,9.86,0,0,0
21Day,0,0.74,2.22,4.44,0,0.37,0,0.37,0,0,1.85,0,2.59,0,1.11,2.22,4.07,0,0,0,2.59,1.48,0.74,0.37,0.37,0.74,1.11,0,0,0,0,0,0,0
3Month,0.1,11.65,7.8,12.17,0.21,0,0.31,10.09,0.62,0.52,11.86,2.29,51.59,0.94,1.35,2.39,2.81,0.73,0,0.52,70.21,0.42,0,14.87,0.1,0.21,0.94,2.7,0.1,0,0.62,3.02,3.74,1.04
22Month,0.14,11.07,9.29,24.87,0.27,0,0.14,8.34,0.55,0.27,8.47,0,22.27,0.41,0.14,0.96,1.37,0,0.27,0.27,5.47,0,0,7.52,0.14,0,0.14,0.41,0.14,0.27,0,3.01,0,0.68
