stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0.28,0,0.56,1.97,0.28,1.13,0,0,0,0,4.79,1.41,0,0,0,0,0,0,0.85,0,0,0,0,0
21Day,1.11,0,0,4.07,0.37,0,0,0.74,0,0,0,1.11,0.37,0,1.48,1.11,3.7,0,0,1.11,0,1.85,1.48,0,0,0,1.48,0.37,0,0.37,0.37,0.37,0,0,0.74
3Month,0,0.31,0.1,4.68,0,0.21,0.73,1.46,0,6.76,1.35,0.31,2.5,0.52,1.04,1.77,0.42,0.21,0,0.31,0,0.31,0.1,0.1,0.21,0,0,0.31,0.62,0,0,0,0.31,0.42,1.66
22Month,0.14,0.55,0.41,3.96,0,0,1.09,1.37,0.55,9.7,1.23,0.82,3.55,0,1.09,1.09,1.09,0,0.27,0.96,0.14,0,0,0.41,0,0.14,0,0,0.27,0,0,0,0,0,1.5
