stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,2,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,1.97,0.56,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.74,0
3Month,0.21,0.62,0,0,0,0.21,0,0,0.31,0,0.1
22Month,0,0.14,0.14,0,0,0,0,0,0,0,0
