stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.21,2.29,0.1,0.62,0.42,0.31,0.1,2.18,0.21,0.31,0.21,0,0.1,0.21,2.29,0,0.52,0.21
22Month,0.14,0.96,0.41,0.14,0.55,0,0.14,1.09,0.14,0,0.41,0.27,0,0,1.37,0.14,0,0.14
