stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0.28,0.28,0,0.28,1.69,0,0.28,0,0,0.28,1.69,0
21Day,0.74,1.11,0.37,0.37,0,4.44,1.11,0,0.37,0.37,0,2.59,0.74
