stage,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,31,0,1,0
72hpf,0,0,0,0.56,0,0,0
21Day,0.37,0,0,1.85,0,0,0
3Month,0,0,0,0.52,0,0,0.1
22Month,0,0.14,0.14,5.19,0.14,0,0
