stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.85,9.86,0.85,0.85,0,0,0,0.28,12.68,4.79,0,0,0.28,0,0,0,0.56,0.28,0,0,0
21Day,0,0,0,8.14,0.74,0,1.48,0,0,0,0,1.11,0,1.11,0,0,1.85,1.11,1.11,0,0,0,0,7.03,1.11,0,0,1.11,2.59,0,0,0,0,0,0,1.85
3Month,0.1,0.21,0.21,6.76,0,0,0.21,1.25,0.94,0,0,28.08,1.14,0.52,5.82,0.42,0.52,3.12,0.83,0.1,0,0.31,0.94,0.21,0,0.62,0.1,0,1.14,8.32,0,0,0.21,0.21,15.91,1.25
22Month,0,0.55,0.27,2.19,0,0.41,0,0.27,1.23,0.41,0,34.71,0.55,0.27,4.37,0.14,0.41,2.05,1.09,0,0.82,0.14,0.14,0.41,0.14,1.23,0.41,0,0,4.1,0.14,0,0,0,0,0.41
