stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,4.51,0,0,0.56,0,0,0,0,0,0
21Day,0.74,0,0,0.37,0,0,0,0,0,0,0.37,0.37,0,0,11.84,0.37,1.48,0,0.37,0.74,0,0,0,0
3Month,0,0.21,0.1,1.14,0.21,0.31,3.22,0,0.42,0.21,0.31,0.1,0.1,0.21,0.1,0,0,0,0.52,29.23,0.1,0.21,4.68,0.31
22Month,0,0,0,0,0,0.14,2.73,0.14,0.41,0,0.14,0.41,0.68,0.14,0.14,0,0,0,0,3.28,0,0,0,0
