stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,2,0,0,0,0
72hpf,0,0,0,0,0,0.28,0.28,0.28,0.85,0.28,0,0.28,0,0
21Day,0.37,0.37,0,0,0,0,0.37,0.74,0.74,0.37,0,0,0,0
3Month,0,0.1,0,0.62,0.1,0,0.1,0.21,0,0.1,0.21,0,0.1,0.21
22Month,0,0.14,0.14,0.41,0,0,0,0,0,0,0.14,0,0,0
