stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Mesenchymal_cell,Neural_cell,Osteoblast
72hpf,0,0.56,1.13,0,0.56,3.95,3.1
21Day,0.37,0,0,0,1.11,1.48,2.59
3Month,0,0,0,0.1,0.1,0.1,0
22Month,0,0,0,0.41,0,0,0
