stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0.28,0.28,0,0,0,0,0,0,1.13,0,13.25,0.28,0,1.13,0,0,6.2,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,9.99,0,0,0,0,0,0.74,0,0,0
3Month,0,0.1,0.73,0,0,0.1,0.1,0.1,0.31,0.1,0.21,0.52,0.1,3.54,0,0.1,0,0.1,0.1,0.52,3.95,0.1,0.1
22Month,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.41,0,0,0,0,0,0,0,0,0
