stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,2,1,6,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.28,1.41,0,0,0,0,0,0,0,0,0,0.28,0.28,1.69,0,1.13,0,0,0,1.13,1.69,0,0,0.28,0,0,2.82,0,0.56,0,0,0
21Day,0,1.85,2.96,0.74,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0.74,0,1.48,0.74,0.37,0,0,0.37,0,1.48,0,0.74,0,0,0
3Month,0.21,16.85,1.14,0,0.21,0.73,12.27,0,0,1.56,8.74,0.52,0.42,7.07,1.46,6.45,1.25,0.1,35.47,0.52,4.06,0.21,2.6,0.21,0,0.62,1.14,0.1,0,0,0.1,0.62,0.42
22Month,0.14,9.02,0.27,0,0.27,0,7.38,0.14,0,2.19,2.05,0.27,0,1.09,0.55,1.78,0.41,0,13.53,0.27,0.55,0.14,0.96,0,0,0,0,0.41,0.14,0.14,0,0,0.27
