stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,9,24,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.05,1.13,0,5.36,2.82,6.48,0,0,0,0.56,0.56,0,0.28,0,3.95,9.02,1.97,6.76,0,12.68,0,702.93,36.08,1.41,1.13,0,8.46,1.41,0.56,3.95,0.85,1.41,0.85,0,0,0
21Day,2.22,0,0.37,2.96,0.74,6.29,0,0,0,0,4.44,0,1.48,0.74,0,2.22,0.74,2.96,0,0,0,162.79,7.4,2.96,1.11,0,2.22,5.18,1.11,0.37,1.48,1.11,0.74,0,0,1.11
3Month,0.1,0.1,0,1.56,0.1,0,0.1,0.1,0.1,0,9.88,0.52,0,0.31,0.31,0.73,0.52,4.26,0.31,0,0.1,1.25,0.21,2.18,0,0,0.21,0.73,20.39,0,0,0,0.62,0.1,8.32,0.52
22Month,0.14,0.41,1.23,0.82,0.14,0,0.41,3.14,1.64,0.68,269.61,0.27,0.14,1.37,0.14,0.14,0.96,8.61,0.68,2.87,0.41,2.87,0,6.42,0.41,1.64,0,0.14,14.21,0.27,0.82,0,0.14,0,0,0.55
