stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0.28,0.56,0,0,0,0,0,0
21Day,0,1.11,2.22,0.37,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0,0.37,6.29,0.37,0,0,0.37,0,0,0,0
3Month,0.1,0,29.23,0,0,0.31,0,0,3.64,0.42,0,1.14,0.42,1.04,0.1,0.31,0.1,0.1,0,0.42,18.41,0,0.1,0.1,0.31,0.1,0.1,0.1,0.52
22Month,0,0.55,6.42,0,0,0,0.27,1.5,8.34,0,0,1.5,0,0,0.27,0.27,0.27,0.68,0.27,0,11.89,0,0.41,0,0.14,0,0,0,0.14
