stage,Cardiomyocyte,Hatching_gland,Immune_progenitor_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,5,0,0,3
72hpf,0.28,0,0,0.56,0
21Day,0,0,0.74,0,0.37
