stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0.85,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.74,0,0,0,0.37,0.37,0,0,0,0,0
3Month,0.42,0.1,2.91,0,0,0.1,0.62,0,4.68,0.73,1.77,0.94,1.87,2.08,1.98,0.73,0,0.1,6.76,0.21,0,0,0,0.1,0.1,0.52,0.31,0.42,11.75,0.52
22Month,0.14,0,0.55,0,0,0.14,0.14,0.27,8.2,0,1.09,0,0.14,0,1.78,0,0.14,0,0.14,0.14,0,0.14,0.14,0,0,0.14,0.96,0.14,0,0.27
