stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,15,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0.85,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,2.54,2.82,0,0,1.13,0,0,0,0,0
21Day,0.37,0,0.37,1.11,0.37,0.74,0.37,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0.37,0.74,1.48,0,0,0.37,0,0,0,0,0
3Month,0,0.31,0.31,1.77,0.1,0,0.42,1.14,1.04,0,4.06,0.83,0.21,1.98,0.31,0.62,1.04,1.35,0.21,0,0.31,0.1,0.1,0.31,0.1,0.21,7.28,0,0,1.77,1.14
22Month,0,0.41,0.14,1.09,0,0,0,0.14,0.68,0.41,4.92,0,0.27,0.82,0,0,1.09,1.23,0,0.14,0,0.14,0,0.14,0.27,0,0.55,0.27,0.27,0,0.27
