stage,Endothelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.42,0.1,0.21,0.31,0.21,0.31,0.21,0.1,0,4.99,0.1,0.1
22Month,1.91,0,0.14,5.6,0,0.14,0.14,0,0,0.41,0,0.14
