stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,3.66,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0.74,0.37,0,0.37,0,0.37,0,0.37,0,2.59,0,0,0,14.43,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0,0.52,0.52,4.16,0,0.21,0,0.83,5.72,0.21,98.61,74.06,0.42,2.5,0.83,1.04,125.86,1.98,0.31,0.1,0.73,0.21,0.21,0.1,1.46,0.21,2.81,0.31,0.62,0.1,0,0.73,1.14,2.29
22Month,0,0.41,0,1.5,0,0.27,0.68,0.14,4.37,0.14,4.78,13.94,2.6,0.41,0.14,0.14,85.54,0.82,0,0.41,0.14,0,0.14,0,1.23,0.27,0.27,0,0,0,0.41,0.14,0,0.96
