stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0,0.56,0.56,0,0,0,0.28,0
21Day,0,0.37,0,0,0,0,0,0,0,1.85,0,0,0.37,0,1.11,0,0.74,0,0.37,0,0.37
3Month,0.1,2.7,0,0.1,0.1,0,0.31,0,0.42,4.47,0.21,0.31,0.1,0.1,0,0,0,0.1,0.1,0,0
22Month,0.55,1.37,0.14,0,0,1.09,1.91,0.14,0,1.09,0.14,0.27,0.14,0,0,0,0,0,0,0,0
